Job role,Job type,Job ID,location,City,State,salary,Job description,Requirements
ERP Analyst,Permanent,2088711-EQG,"Milwaukee, WI",Milwaukee,WI,$68850 - $93150 per Annually,"Kforce has a client in the Milwaukee, WI area that is looking for an ERP Analyst. This is a Milwaukee based position, with training on site, and hybrid work options.

Overview:
As part of a highly collaborative team, the ERP Analyst assists in the implementation, migration, and upgrade of ERP and other line of business applications. A high level of organization and attention to detail are imperative as well as the ability to effectively communicate within all levels of the organization. Software environment includes Aptean Industrial Enterprise Resource Planning - Workwise Edition (WW-ERP), Aptean CRM, ForecastPro, ProShip, Distribution Architects International (DAI, SQL Servers and SSRS, Windows, OpenVMS, Google GSuite, Microsoft Office, and GitHub.

Duties Include:
* ERP Analyst works with subject matter experts in designing procedures and applications to support business needs
* Analyzes user requirements, recommends procedures, and trains users on applications
* Applies standard project management principles to organize work
* Working with subject matter experts, creates and maintains technical and institutional documentation, policies, and procedures for technical and end user use
* Writes SQL scripts and develops SSRS and other reports for end users, including ad-hoc reporting and data analysis using Google Sheets and Microsoft Excel
* Understands the underlying database structure of supported applications
* Works in business applications to customize the interface or workflow to meet defined requirements
* As an ERP Analyst, you make application supported changes to forms, reports, and interface layout for ERP, CRM, and other applications
* Learns and develops expertise in the everyday use of supported business applications
* Stays up to date with the latest technologies and industry trends","* Four-year degree in Business, Information Systems, or Computer Science, and a minimum of five years of related experience; Or equivalent combination of education and experience required
* Our client is implementing a new ERP System; Looking for someone who knows how to implement but also understand the business process, PM, and data side to it
* Top Skills: SQL, Data Analysis, PM, Process Development
* Experience with Workwise ERP desirable but not required

"
Senior FPGA Digital Design Engineers,Permanent,2088706-WQG,"Gardena, CA",Gardena,CA,$145000 - $180000 per Annually,"Kforce has a client that is seeking Senior FPGA Digital Design Engineers in Gardena, CA.

Summary:
This is a growing and established nationwide engineering technology company. We are working directly with the Hiring Manager on these search assignments. The Senior FPGA Engineers will design and develop FPGA's that interface with electronic, electro-mechanical and mechanical components for various avionic actuation systems. You will solve challenging problems and develop solutions that find application across military aerospace industries. The candidate will have a hybrid work option (3 days per week in office & 2 days from home).

Responsibilities:
* Senior FPGA Engineers will contribute to the development of new electronic product requirements through consulting with our customers and system engineers
* Perform trade studies and analyses to validate conceptual designs
* Perform circuit analysis and board level design including schematic capture and specifying printed circuit board design requirements (placement constraints, trace parameters, and routing layer constraints)
* Develop firmware for FPGAs that work with electronics, sensors, electro-hydraulic actuators, electromechanical components, and communication links for actuation systems or avionics equipment
* As a Senior FPGA Engineer, you will conduct prototype testing, integration testing, and design verification and validation testing
* Document design, analysis, and verification results with accurate and concise reports
* Perform FPGA verification following project plans and standards
* Provide formal technical presentations to internal and external customers to support program review and business development
* Specify and support design of lab test setups","* Bachelor's degree in Electrical Engineering, Computer Engineering or similar field
* At least 6-12+ years of design and development engineering experience
* Experience designing test benches and simulations using digital simulation tools such as ModelSim, Active-HDL or similar tools for verification of FPGA designs is preferred
* Analysis experience including power dissipation, power use, timing, signal integrity, component derating, and Acceptance Test/Built-In Test coverage
* Demonstrate detail knowledge of VHDL or Verilog coding and how to optimize for performance
* Knowledge of board design and layout including design tools is highly desired at least previously in career
* Digital design expertise including modern microprocessors, DSPs, high speed digital logic, FPGA, memory, etc.
* Experience with the design of analog-to-digital, digital-to-analog converters, and communication links is a plus
* Experience in the Aerospace or Defense industry is a plus (Will also consider candidates from other industries)

"
Inside Sales Consultant (Telesales) III,Contract,2088702-WQG,"District of Columbia, WA",District of Columbia,WA,$24 - $24 per Hourly,"Kforce has a client that is seeking a remote Inside Sales Consultant (Telesales) III.

Key Tasks:
* Available to consult with small business prospects contacting QuickBooks
* Inside Sales Consultant will gain a thorough understanding of the customer's small business operations, needs, challenges and goals
* Recommend the right solutions based on need across the QB ecosystem and reinforce the value proposition
* As an Inside Sales Consultant, you will create an engaging and delightful experience resulting in new customer acquisition and/or ecosystem attach
* Champion the Company Brand of being Real, Smart, Honest, Committed and Spirited
* Consistently meet defined key performance productivity and sales metrics
* Partner with FLLs to ensure participation and engagement of the sales teams supported
* Working to sell up to 5 different product lines: Payments (Merchant Processing), Payroll, Live Bookkeeping, QB Core Product (Desktop and Cloud)","* Experience in selling a service - cable, phone, electric, etc. - does not necessarily need to be SaaS experience
* Someone who wants to be in Sales - working to convert shoppers to buyers
* Full cycle selling - understanding the need for placing the order
* Someone who can handle working in multiple software systems
* Able to handle a high volume of calls and/or chats
* Call center background is very helpful

"
Business Analyst,Contract,2088698-AQG,"Herndon, VA",Herndon,VA,$42 - $57 per Hourly,"Kforce has a client that is seeking a Business Analyst in Herndon, VA.

Responsibilities:
* Business Analyst will work with key stakeholders and end users to understand their needs and find innovative ways to implement solutions
* Document user stories and to-be process flows and work collaboratively with team members to design a solution that will meet a client's business requirements and fulfill user stories
* Collaborate with subject matter experts to develop queries and data extracts from various sources, modify and calculate data in Excel and other tools to deliver the necessary analytical solution
* As a Business Analyst, you will implement and follow the work procedures compliant with internal policies and procedures
* Establish processes to report issues and collaboratively work with users, the technical team, infrastructure team to resolve the issues for the customers
* Show a sense of urgency, plan, prioritize and drive the solution development for timely deployment
* Perform testing and validation, follow established procedures to report and resolve defects, and continuously evaluate and improve procedures to deliver high quality work","* Bachelor's degree or higher
* Five (5) years of experience as a Business Analyst
* Strong Experience in Agile methodology, process documentation, knowledge management, requirements management
* Strong facilitator who enjoys working in a fast-paced, collaborative team environment
* Drive and desire to learn and grow their technical and functional skill sets
* Strong documentation, presentation, communication (written and verbal) skills, and interpersonal skills
* Proficient in Jira, Microsoft Word, Excel, PowerPoint, Microsoft Project, and Visio
* Demonstrates flexibility and willingness to do what it takes to get the job done
* Proven ability to leverage analytical and problem-solving skills
* Applicants must be fully authorized to work in the U.S. without sponsorship
* Applicants selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information

"
Master Scheduler - Aerospace,Permanent,2088701-WQG,"Chandler, AZ",Chandler,AZ,$100000 - $125000 per Annually,"Kforce has a client located in Chandler, AZ that is seeking to hire a Master Scheduler within the Aerospace Industry.

Summary:
This growing and established engineering technology company is seeking a Master Scheduler. We are working directly with the Hiring Manager on this exclusive search assignment. The company offers a competitive compensation package including base salary, annual bonus, profit sharing, etc. This position is Hybrid remote. Must reside in the Phoenix, AZ Metro area to be considered.

Responsibilities Include:
* Develop and maintain the Master Schedule
* Master Scheduler will develop and accurately maintain integrated master/sub-project schedules, ensuring schedule logic is maintained (horizontal and vertical)
* Consolidate cost and schedule data to calculate and analyze program performance which helps identify variances that trip reporting thresholds
* As a Master Scheduler, you will develop ad hoc reporting and analysis which identify financial trends within the monthly reporting cycle to improve program execution
* Work with the finance organization to ensure cost management policies are being maintained
* Interpreting the status for potential cost and/or schedule impacts and communicate said impacts to control account/program manager and integrated product team leads","* Bachelor's degree in Engineering, Accounting, Business, or a related field
* 3-6+ years of relevant work experience as a Master Scheduler in the Aerospace Industry is preferred or other highly regulated industry
* Experience as a subject matter expert with scheduling using the scheduling software Microsoft Project
* Experience in the Aerospace, Consumer Electronics, Semiconductor, Electronic Manufacturing industries or other highly regulated industries would be ideal
* Strong knowledge in cost management and scheduling concepts
* Working knowledge of EVMS (Earned Value Measurement Systems)
* Experience developing ad hoc reporting and conducting analysis which identifies financial trends within the monthly reporting cycle to improve program execution is desired
* Experience with both the financial (cost) and schedule performance of programs is desired

"
Aerospace Master Scheduling Coordinator,Permanent,2088699-WQG,"Chandler, AZ",Chandler,AZ,$100000 - $125000 per Annually,"Kforce has a client that is seeking an Aerospace Master Scheduling Coordinator in Chandler, AZ.

Summary:
This is a growing and established engineering technology company. We are working directly with the Hiring Manager on this search assignment. The company offers a competitive compensation package including base salary, annual bonus, etc. This position is partial remote. Candidates must reside in the Phoenix Metro area to be considered.

Responsibilities:
* As the Aerospace Master Scheduling Coordinator, you will be responsible for site wide implementation and management of both Earned Value Management (EVM) and Program Scheduling
* The scheduling portion will be responsible for developing integrated master plans and schedules in support of the Earned Value Management System (EVMS)
* You will be a subject-matter expert for scheduling and for current scheduling software (MS Project online)
* Aerospace Master Scheduling Coordinator will be a key contributor to the ICAS team to foster continuous improvements in the Integrated Cost & Schedule Group EVMS system
* Responsibilities will include execution of program cost and schedule management from product capture through program completion","* Bachelor's degree in Engineering, Accounting, Business, Finance or related degree
* At least 3-5 years of industry experience working as Scheduler for Programs in the Aerospace, Military or Space/Defense industry with governmental cost reporting
* Strong experience in the disciplines of EVMS, program planning, execution, and/or reporting and should demonstrate strong analytical, problem resolution, organizational, program management and leadership abilities
* Strong experience in scheduling using scheduling software (MS Project online)
* Experience developing integrated master plans and schedules in support of the Earned Value Management System (EVMS)
* Strong knowledge in cost management and scheduling concepts
* Working knowledge of EVMS (Earned Value Measurement Systems)
* Strong presentation skills
* Experience with execution of program cost and schedule management from product capture through program completion would be preferred

"
ServiceNow CMDB Analyst,Permanent,2088696-AQG,"Charlotte, NC",Charlotte,NC,$106250 - $143750 per Annually,"Kforce has a client in Charlotte, NC that is seeking a ServiceNow CMDB Analyst.

Responsibilities:
* In this role, the ServiceNow CMDB Analyst will be assisting in developing standard IT configuration management methodology 
* Supports the Configuration manager in the development of CMDB policy, processes and knowledge base 
* Works with the Configuration manager, to improve CI data integrity regarding classes, naming conventions, attributes, data sources, and relationships 
* Assists Configuration manager in conducting configuration audits and reconciliation 
* The ServiceNow CMDB Analyst maintains CIs to ensure CMDB accuracy and completeness 
* Drives visibility on unauthorized CI changes or alterations to environment 
* Works with other ITSM processes to understand new requirements and identify how Configuration management can support 
* Support and administer the tool for configuration and asset management, ServiceNow Discovery, and additional applications or modules as assigned 
* Perform SDLC activities required to enhance the Service Now platform 
* As a ServiceNow CMDB Analyst, you will act as backup for CAB Manager","* 3+ years of experience working in global enterprises
* 1+ years of ServiceNow IT Operations experience 
* Candidates qualifying for this position will have similar experience along with the skills and abilities to perform the duties mentioned
* Any relevant education and/or training will be considered a plus

"
Director of Product Development,Permanent,2088694-AQG,"Alameda, CA",Alameda,CA,$191250 - $258750 per Annually,"Kforce has a client in Alameda, CA that is seeking a Director of Product Development who will be the single-threaded leader for the Helix Virtualization Platform portfolio which is part of the larger Software Platform. 

Summary:
As a coach/player, the Director of Product Development will lead a team of product managers, aggregating input from external customers, sales, market research, fellow product managers, partners, etc., to execute against the broad product strategy and drive product truth.
They will own the roadmap and its rationalization, understand the competitive landscape, deliver against industry specific needs (automotive, defense, industrial, etc.) to ensure revenue growth.
The Director of Product Development will work in close partnership with experienced Product Management, Engineering, and Sales teams.","* Master's degree in Engineering, Computer Science or related field; MBA a plus; Bachelor's degree with suitable experience
* 8+ years of increased external Product Management experience with commercial software products, preferably operating systems
* Recent software Product Management experience in aerospace and defense, or industrial/medical, or automotive strongly desired
* Ability to articulate current software macro trends
* Demonstrated leadership of senior Product Managers
* Demonstrated application of business rationalization against a technical product
* Demonstrated experience writing requirements for engineering
* Ability to attract, hire, coach, and retain talent
* Strong analytical abilities, with excellent written and oral communication skills
* Strong collaboration mindset
* Solid technical understanding of operating systems
* Experience with one or more RTOS a plus
* Applicants must be fully authorized to work in the U.S. without sponsorship

"
IAM Security Analyst,Contract,2088691-EQG,"Monona, WI",Monona,WI,$20 - $35 per Hourly,"Kforce has a client in Monona, WI that is seeking an IAM Security Analyst who will work independently to prioritize client access requests in ServiceNow and fulfill security administration workload responsibilities. 

Responsibilities:
* Adhere to customer service, timeliness, and security standards
* Assist in maintaining critical system access safeguards to protect our nation's sensitive healthcare information, following principles of least privilege and separation of duties
* Ensure information system processes and procedures meet or exceed our contractual security compliance requirements, including but not limited to: Medicare, HIPAA and NIST Cyber Security Framework.

What to gain from this role:
* An opportunity to be part of a collaborative environment to broaden, curate, and automate the functionality and maturity of our IAM program
* Experience in the development and integration of core the IAM platforms
* Have opportunities to mature your technical ability with a wide variety of tools
* Gain exposure and hands on training with the latest technologies
* Working in a continuous performance feedback environment","* High School diploma/GED or equivalent
* 1 year of related work experience
* Applicants must be fully authorized to work in the U.S. without sponsorship
* Applicants selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information
* Experience provisioning and de-provisioning of system access
* Excellent communication and technical skills to troubleshoot and explain solutions
* High attention to detail and strive for continuous improvement and skill development
* Able to provide onsite support, helpdesk support, or mobile device support as needed
* Possesses strong teamwork and collaboration skills to support security access response and triage for the enterprise

Preferred Qualifications:
* Possess or able to obtain relevant security certification(s)
* 1 or more years of working knowledge of IAM tools and/or IT systems
* An understanding of concepts such as identity governance, role-based access, privileged access management, multifactor authentication, principal of least privilege, and separation of duties
* Experience working with technologies such as ServiceNow, mainframe, Active Directory, O365 products, Azure, or similar technologies
* Experience providing technical support and assistance related to access issues, computer systems, hardware, or software
* Ability to work remote and provide on-site support as necessary
* Flexible and able to adapt to changing needs

"
Senior React Developer,Contract,2088693-EQG,"Atlanta, GA",Atlanta,GA,$35 - $45 per Hourly,"Kforce has a client that is seeking a Fully Remote Senior React Developer to join their online organization (.COM).

Summary:
In this role, you will oversee everything that is related to the client's website (which is built in all react and has multiple apps built on both node and java). This person will be supporting the Brand Enablement team. This team supports the rest of the .COM by building atomic components for other teams to utilize. The goal is to have all .COM move over to their design framework by 2024. As a Senior React Developer, you will build all their components within React (hooks) and use tailwind for CSS. This team is also very flexible on other testing tools, state management, etc.","* Expert Front-end Developer with experience in Web Application Development
* Must have React expertise, skilled with react hooks and other react functions
* Skilled with JavaScript, HTML, CSS, Bootstrap, and web services
* GitHub Repo

"
Consumer Researcher,Contract,2088687-EQG,"Cincinnati, OH",Cincinnati,OH,$56 - $77 per Hourly,"Kforce has a client in Cincinnati, OH that is seeking a Consumer Researcher to join their team on a 5-month contract basis. The Consumer Research team is over capacity and needs a junior to mid-level contractor to help manage project overflow. The Consumer Researcher will enable the team by taking on various phases of research projects. This person will work for 16-20 weeks, 30 hours/week. Remote work is accepted, but EST or CST is preferred.

Responsibilities:
* Programming surveys on an internal survey platform 
* Defining samples, checking feasibility, and pulling sample from an internal platform 
* Formatting slides in presentation decks
* Exporting results from an internal platform and writing basic headlines in a presentation 
* Uploading materials following project completion 
* Quality checks through all phases of the research process","* Prior experience in survey programming
* Knowledge of and experience with the consumer research project process including sampling, survey design, survey programming, data analysis and presentations 
* Experience in quantitative (required) and qualitative (preferred) methods
* Previous experience working with research platforms including programming surveys, data exports and uploads, cross tabs, etc.; Example platforms - Suzy, Qualtrics, etc.
* Basic analysis and reporting experience - understanding data outputs and ability to write key findings/headlines 
* Experience assessing research stimulus (claims, ads, concepts) and impact to research design/survey
* Ability to manage multiple projects at once and being flexible to shift between projects, all while prioritizing effectively
* Strong analytical, problem solving and critical thinking skills 
* Attention to detail, organized, strong discipline and proactivity related to managing timelines and deadlines
* Good communicator

"
Rendering Services Engineer,Contract,2088692-EQG,"Atlanta, GA",Atlanta,GA,$35 - $45 per Hourly,"Kforce has a client in Atlanta, GA that is seeking a Fully Remote Rendering Services Engineer to join their online organization (.COM).

Summary:
This group oversees everything that is related to the client's website (which is built in all react and has multiple apps built on both node and Java). This team supports the rest of the engineers in the .COM and maintains the platform for how the engineers are deploying their code. They will be responsible for node.js server administration, building of pipelines/managing them and managing the cloud infrastructure. The candidate will be a hybrid between an SRE and a node.js type administrator and will be responsible for all the operations of the platform. You will also be expected to do some scripting (bash/shell/python etc.). In this role, you will be working with concours pipelines, Node.js servers, interacting with java applications, and deploying using Docker, Kubernetes and GCP. Strong Collaboration is a must as you will be the middleman between the dev teams, business, and SRE team.","* Significant experience with design and implementation of CI/CD pipelines
* Significant experience with design and implementation of GitHub Action workflows
* Significant experience with Unix/Linux shell scripting
* Experience with Node.JS Administration
* Experience with secrets management
* Experience with Node and Java applications
* Experience with Docker files
* Experience with Rendering Pools
* Experience with Node and NPM
* Experience with Google Cloud Platform services such as Compute Engine, Kubernetes Engine, Cloud Storage, and Monitoring/Logging

"
Scrum Master / Project Manager,Contract,2078688-AQG,"Boston, MA",Boston,MA,$40 - $60 per Hourly,"A Kforce client is seeking a Scrum Master/Project Manager in Boston, MA.

Duties Include:
* Scrum Master/Project Manager will be working with agile software development teams and managing project deadlines
* Affecting change in organizations working towards agile adoption
* Contribute to Waterfall and Hybrid project
* As a Scrum Master/Project Manager, you will contribute to the Contact Center project
* Understanding Project Management tools such as ServiceNow, MS Project, Azure, JIRA, and collaboration tools","* Bachelor's degree
* 5+ years of relevant experience
* Experience working in the healthcare(payer) sector
* Experience working with agile software development teams and managing project deadlines
* Experience-affecting change in organizations working towards agile adoption
* Waterfall and Hybrid project experience
* Contact Center project experience needed
* Understanding Project Management tools such as ServiceNow, MS Project, Azure, JIRA, and collaboration tools

Certification(s) Preferred:
* Project Management Professional (PMP) or Certified Scrum Master (CSM)

"
IT Director - IT Operations,Permanent,2088689-AQG,"Parsippany, NJ",Parsippany,NJ,$180000 - $220000 per Annually,"Kforce's client, a publicly traded chemical manufacturer located in a state-of-the-art facility in Parsippany, NJ is expanding and looking for an IT Director - IT Operations.

Key Tasks:
* Lead people and build culture: Build/grow a strong and diverse team, align on strategic vision and objectives, and create a highly engaged, winning culture; Develop talent
* Partner to advance cybersecure position: Working with CISO, plan and execute key cybersecurity programs; A robust business continuity management system covering all sites, mission critical applications, and infrastructure
* Assess and Increase Digital Acumen: Support successful digital transformation through upskilling and capability building; optimize value of existing technology investments, aligning use with outcomes
* Manage and Advance Technical Platforms: Drive the strategy of key platforms including but not limited to Microsoft 365, Azure, and network services
* Collaborate and Influence across the Organization: Partner with passionate leaders in IT and other functions to establish active sponsorship, vision, and approach
* Solution Management: Drive key decisions around network, workplace, and cloud solutions
* Supplier Partnership: Maintain/grow key supplier relationships, increasing technology leverage","* Bachelor's degree in Computer Science, Information Technology, or a related field; Master's degree a plus
* 8 years of increasing experience in IT systems management or related roles; This may include infrastructure (including cloud), workplace solutions, or other system or technical team management
* 5+ years of people leadership experience
* Ability to travel approximately 25%

"
Lead BI Developer,Contract,2088685-AQG,"Jersey City, NJ",Jersey City,NJ,$65 - $75 per Hourly,"Kforce has a reputable logistics client in Jersey City, NJ that is seeking a Lead BI Developer.

Summary:
In this role, you will provide strategic and tactical direction in the areas of Business Intelligence Analytics, ETL Development, Data Modeling and assessment of Data Quality and Consistency across platforms, services, and business units.

Essential Duties:
* Lead BI Developer will bring a -hands-on- perspective with Azure analytics technologies and an understanding of the -right tool for the right job- promoting self-service BI/Data Discovery/Data Exploration/Hub-Spoke BI
* Set the vision, gather requirements, gain business consensus, perform vendor and product evaluations, mentor business and develop resources, and deliver solutions
* Drive strategy and implementation of enterprise data architectures, providing technical guidance to other resources, enforcing standards, managing the enterprise data model, the maintenance of the data, and enterprise data integration approaches
* Work with staff and customers to understand the business requirements and business processes, design data warehouse (-DW-) schema and define extract-translate-load (-ETL-) and/or extract-load-translate (-ELT-) processes for data warehousing
* As a Lead BI Developer, you will utilize multidimensional data modeling, such as star schemas, snowflakes, normalized and de-normalized models, handling slowly changing dimensions/attributes
* Work with senior management & stakeholders to build the strategy and roadmap for the enterprise, including data modeling, implementation, and data management for the enterprise data warehouse and advanced data analytics systems
* Collaborate with the company's management teams to define, manage, and maintain the Enterprise Data Model and architecture framework in all its forms, including conceptual and logical forms","* Bachelor's degree in Information Technology, Computer Science, Industrial Engineering, Mathematics, or higher preferred 
* Experienced hands-on professional with extensive knowledge of information management, data warehousing and analytics technologies

Preferred Qualifications:
* Experience with Tableau and/or similar data visualization tools
* Knowledge of data visualization and reporting tools such as Power BI
* Knowledge of Data Quality Management best practices
* Familiarity with Data Governance and Data Stewardship practices
* Familiar with Agile development methodologies
* Extensive expertise in MSSQL/Oracle database management, as well as conceptual, logical, and physical data modelling
* Excellent problem-solving, analytical, and communication skills
* Up to date with emerging trends in analytics and cloud computing technologies
* Ability to work in a fast-paced, collaborative, and agile environment

"
Accounts Receivable Manager,Permanent,2088684-AQG,"Hawthorne, NY",Hawthorne,NY,$100000 - $115000 per Annually,"Kforce's client, a well-known CPG company in Hawthorne, NY is looking to hire an Accounts Receivable Manager to join their growing team.

Summary:
The Accounts Receivable Manager will serve as an integral part of the Accounting team, in support of driving the strategy, growth, operational excellence and transparency of data of the organization. The qualified individual will own the order to cash (OTC) process and support the month end close process, lead day to day transaction processing activities, monitor credit worthiness and deliver weekly KPI/KPM reporting. The key to success is the ability thrive in a fast-paced environment and strong communication and stakeholder engagement.

Responsibilities:
* Lead Order to Cash Process and Team in achievement of Department Goals
* Ensure visibility to and timely collection of customer payment
* Maintain customer allowances database
* Lead deduction management process to ensure timely resolution and visibility to business partners
* Enable A/R forecasting in support of cash flow management
* Drive the Credit Committee process for timely decision-making and risk mitigation for outstanding balances
* Assess and recommend changes to ERP system to improve accuracy of transaction processing
* Establish financial control and accountability for the processing of customer invoices, applying cash and resolving deduction and credit memos
* Set and execute departmental and individual goals aligned with company goals, objectives, and our Operating System
* Develop and implement systems for collecting, analyzing, verifying, and reporting information
* Monitor and analyze all essential accounting data for receivables
* Set and execute the month-end, quarter-end, and year-end OTC accounting close activities
* Establish and enforce proper OTC methods, policies, and principles
* Drive efficiencies in transaction processing through end-to-end process assessments","* BS degree in Accounting or Finance required
* Minimum 7 years of managing direct reports required, including hiring, and developing talent
* Working experience as Accounts Receivable Manager or Supervisor
* Experience in Consumer-Packaged Goods required and Direct to Consumer a plus
* Strong experience in leading deduction management and reporting in CPG environment
* Proven knowledge of accounts receivable principles, practices, standards, laws, and regulations
* Exceptional level of discipline, integrity, and a strong sense of accountability for performance and driving results
* Advanced computer skills on MS Office, accounting software and databases
* High attention to detail and accuracy
* Collaborative team player who builds relationships with stakeholders and outside partners
* Strong continuous improvement mindset
* Strong ability to present complex data clearly and strategically to multiple levels of management in an easy-to-understand manner with clear recommendations

"
Staff Accountant,Contract,2088683-NRC,"Tampa, FL",Tampa,FL,$24 - $28 per Hourly,"Kforce has a client in Tampa, FL that is seeking a Staff Accountant.

Responsibilities:
* Manage and maintain General ledger
* The Staff Accountant will prepare journal entries
* Assist with CAPEX reports
* Booking/matching revenue, working off 606 compliance checklists
* Provide audit support, research, and provide detailed information on requests, assist auditors with questions/follow-ups, etc.
* The Staff Accountant will assist with Cash Clearing General Ledger Tie out - Mid month & month end (reconciliations for 25 entities) 
* Subsequent payment data gathering and analysis for AR Reserve
* Handle reconciliations and booking revenue","* Bachelor's degree in Accounting or Finance
* 1-3 years of G/L accounting experience
* Knowledge of Accounts receivables
* Strong communication skills as this position will communicate directly with upper-level management
* Proficient with Microsoft Excel, specifically Formulas, Pivot Tables and VLOOKUP
* Ability to work and collaborate productively in a remote work environment

"
AP Specialist,Permanent,2086431-EQG,"Waltham, MA",Waltham,MA,$60000 - $80000 per Annually,"A Kforce client is seeking to hire an AP Specialist in Waltham, Massachusetts (MA).

Summary:
This client is a biotechnology company with a fun culture and great work/life balance. They offer a strong compensation and benefits package that includes 401K with match, education reimbursement, etc. This role will work in a hybrid model, 4 days a week in the office and 1 day remote.

Responsibilities include:
* Manage payables and payable entries
* Review and process invoices
* Perform 2-way and 3-way matches on invoices
* Verify vendor accounts by reconciling statements and transactions.
* Maintain vendor files
* Prepare AP reconciliations
* Manage the AP email account
* Assist with resolving invoice discrepancies
* Correspond with vendors and respond to payment inquiries
* Perform other duties as needed","* Bachelor's degree in Accounting, Finance, or Business
* 1-4+ years of AP/accounting experience
* Strong interpersonal and communication skills
* Strong attention to detail
* Advanced Microsoft Office skills
* Experience in the life sciences/biotechnology industry is preferred

"
Senior SEC Accountant,Permanent,2086164-EQG,"Billerica, MA",Billerica,MA,$90000 - $105000 per Annually,"A Kforce client is seeking to hire a Senior SEC Accountant in Billerica, Massachusetts (MA).

Summary:
This client is a $1B manufacturing technologies company with a strong commercial & government presence and have been continuously growing year over year. The role will work in a hybrid schedule, 2 days a week in the office and 3 days remote.

Responsibilities include:
* Involved with the preparation of 10K/10Q quarterly & annual fillings, in accordance with GAAP and SEC requirements
* SEC Accountant will assist with quarterly press releases and investor relations
* Perform research for mergers and acquisitions
* Research SEC filings
* Assist with year-end audit and quarterly review
* As a SEC Accountant, you will support for ad hoc projects as needed","* Bachelor's degree in Accounting or Finance is required
* CPA or CPA track (preferred)
* 2-4+ years of public accounting experience is required (ideally Big 4)
* Public company SEC experience is required
* Advanced Microsoft Excel skills, including Pivot Tables

"
VP of Technical Accounting (REMOTE),Permanent,2084815-EQG,"New York City, NY",New York City,NY,$210000 - $245000 per Annually,"A Kforce client in New York City, New York (NY) is seeking to hire a remote VP of Technical Accounting.

Summary:
This is an amazing opportunity to join a rapidly expanding company and to build out the SEC process and develop a reporting team globally. The ideal candidate will be a Big 4 CPA either directly out of public accounting or working in industry with large global emerging organization. This person can sit anywhere in the US (including east or west coast). This company has excellent benefits, competitive compensation package, and will act as a subject matter expert.

Responsibilities include:
* Lead and maintain the company technical accounting policies on a global scale, including implementation, and adoption of new accounting standards
* Prepare technical accounting analysis, drafting memos and research complex transactions
* Partner across corporate accounting and FP&A team, provide technical accounting support, and research as needed
* Ensure compliance to internal controls, SOX, and GAAP guidelines
* Partner with Investor Relations on press releases","* Bachelor's degree in Accounting
* CPA is required
* 8-12+ years of Big 4/public accounting and/or industry experience in a public company (Tech/Fin Tech industry preferred or a large national Fortune 1000 organization)
* Expertise of GAAP, Complex Technical Accounting and GAAP
* Big 4 accounting audit firm experience is preferred
* Ability to lead and develop a team
* Executive level presence (while also being comfortable being hands-on with all areas of technical accounting)

"
Senior Revenue Accountant,Permanent,2073109-EQG,"Chelmsford (1 day/week on-site), MA",Chelmsford (1 day/week on-site),MA,$95000 - $105000 per Annually,"Kforce's client, a global $1.25B Medical Instruments company, is seeking a Senior Revenue Accountant in Chelmsford, Massachusetts (MA). The Senior Revenue Accountant will support the global revenue accounting team on various related to revenue accounting in accordance with GAAP guidelines. This is a mostly remote role with the expectation to be on-site 1 day/week. 

Summary: 
The Senior Revenue Accountant will play a lead role supporting the Revenue Finance and responsible for variety of analytical and day to day revenue recognition activities. Their responsibilities and projects include forecasting, balance sheet reconciliations, journal entries, business partnering with sales, and ensuring revenue compliance with GAAP and internal policy.","* BS degree in Accounting/Finance 
* 4+ years of revenue accounting experience 
* Solid understanding of revenue recognition, ASC 606 & GAAP guidelines 
* Strong Excel and analytical skills

"
Senior Tax Manager / Tax Director,Permanent,2080285-EQG,"Wakefield, MA",Wakefield,MA,$135000 - $185000 per Annually,"A Kforce client is seeking to hire a Senior Tax Manager/Tax Director in Wakefield, Massachusetts (MA).

Summary:
This is a well-balanced regional CPA firm that provides accounting and consulting services to a variety of commercial client industries. The firm is known for offering strong quality of life, career development, and partnership path; Opportunity to be mostly remote (with occasional office visits).","* CPA or MST is desired
* 8-20+ years of public accounting experience
* To be considered for this position, candidates must have experience in a similar role, or they must possess significant knowledge, experience, and abilities to successfully perform the responsibilities listed
* Relevant education and/or training will be considered a plus

"
